id,craft_id,craft_name,category,region,raw_speech_input,line1_history_heritage,line2_originality_material,line3_utility_value,full_3line_description
hero_desc_0191,tikamgarh_bell_metal,Tikamgarh Bell Metal Casting,Metalwork,Madhya Pradesh,pure tikamgarh bell metal casting radha krishna idol,"Supported by the Bundela rulers of Orchha since the 17th century, Tikamgarh casting preserves pristine lost-wax metal artistry across the Bundelkhand plateau.","Molded using local beeswax and clay cores, poured with a resonant alloy of copper and tin (kansa), and finished with manual chisels without power tools.","Producing heavy, solid devotional sculptures with an enduring acoustic resonance and golden patina, these sacred idols serve as generational family heirlooms.","Supported by the Bundela rulers of Orchha since the 17th century, Tikamgarh casting preserves pristine lost-wax metal artistry across the Bundelkhand plateau.
Molded using local beeswax and clay cores, poured with a resonant alloy of copper and tin (kansa), and finished with manual chisels without power tools.
Producing heavy, solid devotional sculptures with an enduring acoustic resonance and golden patina, these sacred idols serve as generational family heirlooms."
hero_desc_0093,pokhran_pottery,Pokhran Red Clay Pottery,Ceramics,Rajasthan,authentic pokhran red clay pottery planter,"Practiced for centuries across the harsh Thar desert terrain, Pokhran earthenware was developed to store and chill water amidst extreme arid temperatures.","Wheel-thrown from local iron-rich desert silt and white clay, decorated with geometric slip lines and wood-fired in inverted earth kilns without lead glazes.","Featuring natural microporous breathability that chills drinking water by 5 degrees purely through evaporation, this earthy terracotta brings healthy utility to modern pantries.","Practiced for centuries across the harsh Thar desert terrain, Pokhran earthenware was developed to store and chill water amidst extreme arid temperatures.
Wheel-thrown from local iron-rich desert silt and white clay, decorated with geometric slip lines and wood-fired in inverted earth kilns without lead glazes.
Featuring natural microporous breathability that chills drinking water by 5 degrees purely through evaporation, this earthy terracotta brings healthy utility to modern pantries."
hero_desc_0011,kashmir_papier_mache,Kashmiri Papier-Mâché,Art,Jammu and Kashmir,kashmiri papier-mâché decorative box,"Introduced in the 14th century by the Sufi saint Mir Sayyid Ali Hamadani and patronized by Sultan Zain-ul-Abidin, this craft transformed Persian artistic styles into a Himalayan art form.","Hand-molded from soaked recycled paper pulp and rice binder (sakhtsazi), coated in mineral base plaster, and hand-painted with pure gold leaf and squirrel-hair brushes (naqashi).","Protected by clear natural varnish for crack-free longevity, these vibrant floral vessels and boxes bring imperial Kashmiri charm to office desks and mantelpieces.","Introduced in the 14th century by the Sufi saint Mir Sayyid Ali Hamadani and patronized by Sultan Zain-ul-Abidin, this craft transformed Persian artistic styles into a Himalayan art form.
Hand-molded from soaked recycled paper pulp and rice binder (sakhtsazi), coated in mineral base plaster, and hand-painted with pure gold leaf and squirrel-hair brushes (naqashi).
Protected by clear natural varnish for crack-free longevity, these vibrant floral vessels and boxes bring imperial Kashmiri charm to office desks and mantelpieces."
hero_desc_0163,bhagalpuri_tussar,Bhagalpur Tussar Silk,Textiles,Bihar,pure handloom bhagalpur tussar silk dupatta,"Cultivated for over a century across the fertile banks of the Ganges in Bhagalpur, this wild silk tradition represents the core of Bihar's handloom economy.","Hand-reeled from wild Antheraea mylitta silkworm cocoons fed on Asan and Arjun trees, handwoven on pit looms without boiling the pupae alive (peace silk).","Celebrated for its coarse golden sheen, porous thermal regulation, and structural body, this fabric resists creasing and provides commanding authority for corporate and formal wear.","Cultivated for over a century across the fertile banks of the Ganges in Bhagalpur, this wild silk tradition represents the core of Bihar's handloom economy.
Hand-reeled from wild Antheraea mylitta silkworm cocoons fed on Asan and Arjun trees, handwoven on pit looms without boiling the pupae alive (peace silk).
Celebrated for its coarse golden sheen, porous thermal regulation, and structural body, this fabric resists creasing and provides commanding authority for corporate and formal wear."
hero_desc_0858,thanjavur_pith_work_alt,Authentic Thanjavur Netti Pith Craft,Woodwork,Tamil Nadu,authentic authentic thanjavur netti pith craft gift miniature,"Originating under the Nayaka and Maratha kings of Thanjavur, this delicate sculpting tradition adorned royal miniature models of the magnificent Brihadeeswara Temple.","Carved with scalpel precision from the dried spongy core of the aquatic swamp reed Aeschynomene aspera (netti), retaining an unblemished natural ivory-white sheen.","Feather-light, naturally pest-resistant, and extraordinarily detailed under glass displays, these miniature models serve as elite architectural centerpieces for curated art collections.","Originating under the Nayaka and Maratha kings of Thanjavur, this delicate sculpting tradition adorned royal miniature models of the magnificent Brihadeeswara Temple.
Carved with scalpel precision from the dried spongy core of the aquatic swamp reed Aeschynomene aspera (netti), retaining an unblemished natural ivory-white sheen.
Feather-light, naturally pest-resistant, and extraordinarily detailed under glass displays, these miniature models serve as elite architectural centerpieces for curated art collections."
hero_desc_0350,goan_azulejos,Goan Azulejo Ceramic Tiles,Ceramics,Goa,authentic goan azulejo ceramic tiles patio plaque,"Absorbed during the 16th century via Portuguese maritime voyages and rooted in Goan architectural identity, Azulejos grace the entrances of heritage mansions in Old Goa.","Molded from terracotta clay tiles, coated with white tin glaze, hand-painted with cobalt blue mineral oxides, and fired in muffle kilns at high temperatures.","Waterproof, fade-proof against harsh tropical monsoon sunlight, and easily scrubbed, these vibrant tiles personalize family nameplates and kitchen splashbacks with coastal charm.","Absorbed during the 16th century via Portuguese maritime voyages and rooted in Goan architectural identity, Azulejos grace the entrances of heritage mansions in Old Goa.
Molded from terracotta clay tiles, coated with white tin glaze, hand-painted with cobalt blue mineral oxides, and fired in muffle kilns at high temperatures.
Waterproof, fade-proof against harsh tropical monsoon sunlight, and easily scrubbed, these vibrant tiles personalize family nameplates and kitchen splashbacks with coastal charm."
hero_desc_0763,tripura_bamboo_screen_alt,Authentic Tripura Splint Bamboo Craft,Bamboo/Cane,Tripura,authentic tripura splint bamboo craft floor runner,"Harnessing the lush muli bamboo hills of Tripura, this refined weaving technique was patronized by the Manikya kings to craft lightweight palace blinds and interior fans.","Meticulously hand-sliced into micro-thin pliable bamboo splints (kami), hand-interlaced with organic cotton thread warp without nails, metal wires, or synthetic coats.","Naturally insect-resistant, pliable, and dust-repellent, these sustainable rollable blinds filter harsh glare into soothing diffuse golden light for eco-friendly modern homes.","Harnessing the lush muli bamboo hills of Tripura, this refined weaving technique was patronized by the Manikya kings to craft lightweight palace blinds and interior fans.
Meticulously hand-sliced into micro-thin pliable bamboo splints (kami), hand-interlaced with organic cotton thread warp without nails, metal wires, or synthetic coats.
Naturally insect-resistant, pliable, and dust-repellent, these sustainable rollable blinds filter harsh glare into soothing diffuse golden light for eco-friendly modern homes."
hero_desc_0719,purulia_chhau_mask_alt,Authentic Purulia Chhau Dance Mask,Art,West Bengal,beautiful kartikeya mask of authentic purulia chhau dance mask,"Developed in Charida village across the Bagmundi hills, these dramatic masks have energized the acrobatic UNESCO-recognized tribal martial dance of Chhau for generations.","Layered over clay molds with paper pulp, river mud, and cloth, smoothed with fine chalk powder (khari), and hand-painted with vibrant acrylics trimmed in foil plumage.","Radiating theatrical heroism and fierce mythological energy, these colorful masks transform stark accent walls into dynamic galleries of Indian performing folk art.","Developed in Charida village across the Bagmundi hills, these dramatic masks have energized the acrobatic UNESCO-recognized tribal martial dance of Chhau for generations.
Layered over clay molds with paper pulp, river mud, and cloth, smoothed with fine chalk powder (khari), and hand-painted with vibrant acrylics trimmed in foil plumage.
Radiating theatrical heroism and fierce mythological energy, these colorful masks transform stark accent walls into dynamic galleries of Indian performing folk art."
hero_desc_0248,baluchari_saree,Bishnupur Baluchari Silk,Textiles,West Bengal,pure bishnupur baluchari silk wedding drape,"Pioneered during the 18th century under the patronage of Nawab Murshid Quli Khan and perfected in Bishnupur by Malla kings, Baluchari is a narrative textile phenomenon.","Woven from 100% pure mulberry silk on jacquard punch looms, featuring weft brocading with untwisted silk yarns depicting mythological scenes on the grand pallu.","Featuring complete epic storylines from the Ramayana and Mahabharata woven across its borders, this opulent silk drape serves as a glorious bridal and festival statement piece.","Pioneered during the 18th century under the patronage of Nawab Murshid Quli Khan and perfected in Bishnupur by Malla kings, Baluchari is a narrative textile phenomenon.
Woven from 100% pure mulberry silk on jacquard punch looms, featuring weft brocading with untwisted silk yarns depicting mythological scenes on the grand pallu.
Featuring complete epic storylines from the Ramayana and Mahabharata woven across its borders, this opulent silk drape serves as a glorious bridal and festival statement piece."
hero_desc_0737,longpi_black_pottery_alt,Authentic Manipur Longpi Hamtei Pottery,Ceramics,Manipur,this is a authentic manipur longpi hamtei pottery water jug,"Crafted exclusively by the Tangkhul Naga tribe of Longpi village for over a millennium, this ancient earthenware was once reserved for tribal royalty and warrior feasts.","Hand-molded entirely without a potter's wheel from ground black serpentinite rock and weathered clay, polished using broad leaves and wild tree bark, and open-pit fired.","Non-toxic, naturally matte black, and heat-retentive for hours, this exceptional stoneware cooks stews to perfection and provides high-end minimalist tabletop aesthetics.","Crafted exclusively by the Tangkhul Naga tribe of Longpi village for over a millennium, this ancient earthenware was once reserved for tribal royalty and warrior feasts.
Hand-molded entirely without a potter's wheel from ground black serpentinite rock and weathered clay, polished using broad leaves and wild tree bark, and open-pit fired.
Non-toxic, naturally matte black, and heat-retentive for hours, this exceptional stoneware cooks stews to perfection and provides high-end minimalist tabletop aesthetics."
